po_number,vendor,item,po_quantity,grn_quantity,invoice_quantity,po_unit_price,invoice_unit_price,invoice_number,tax,po_date,grn_date,invoice_date,vendor_code,item_code,currency
PO-2001,Acme Industrial Ltd,Ball Bearing 6205,100,100,100,450.00,450.00,INV-3001,8100.00,2026-01-12,2026-01-20,2026-01-22,V-0012,BRG-6205,INR
PO-2002,Acme Industrial Ltd,Oil Seal 35x52x7,50,48,50,120.00,120.00,INV-3002,1080.00,2026-01-12,2026-01-20,2026-01-22,V-0012,SEL-3552,INR
PO-2003,Bharat Fasteners Pvt Ltd,Hex Bolt M12x60,500,500,500,12.50,14.00,INV-3003,1260.00,2026-01-14,2026-01-21,2026-01-24,V-0031,BLT-M1260,INR
PO-2004,Bharat Fasteners Pvt Ltd,Lock Washer M12,1000,1000,1000,2.20,2.20,INV-3004,990.00,2026-01-14,2026-01-21,2026-01-24,V-0031,WSH-M12,INR
PO-2005,Deccan Lubricants,Hydraulic Oil ISO 68,200,200,200,310.00,310.00,INV-3005,11160.00,2026-01-15,2026-01-22,2026-01-25,V-0044,OIL-ISO68,INR
PO-2005,Deccan Lubricants,Hydraulic Oil ISO 68,200,200,200,310.00,310.00,INV-3005,11160.00,2026-01-15,2026-01-22,2026-01-25,V-0044,OIL-ISO68,INR
,Deccan Lubricants,Grease Cartridge EP2,60,60,60,185.00,185.00,INV-3006,1998.00,2026-01-15,2026-01-22,2026-01-25,V-0044,GRS-EP2,INR
PO-2007,Southern Belting Co,V-Belt B-75,40,40,40,,320.00,INV-3007,2304.00,2026-01-16,2026-01-23,2026-01-26,V-0058,BLT-B75,INR
PO-2008,Southern Belting Co,Conveyor Belt 600mm,25,25,25,1450.00,1450.00,INV-3008,3625.00,2026-01-16,2026-01-23,2026-01-26,V-0058,CNV-600,INR
PO-2009,Precision Tools India,Carbide Insert CNMG,300,295,300,88.00,88.00,INV-3009,4752.00,2026-01-17,2026-01-24,2026-01-27,V-0062,INS-CNMG,INR
PO-2010,Precision Tools India,End Mill 12mm,75,75,75,540.00,540.05,INV-3010,7290.00,2026-01-17,2026-01-24,2026-01-27,V-0062,EML-12,INR
